,ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
1886,105,Pralus,France,2006,Brazil,"Monte Alegre (Itacare), Brazil",75%,"4- B,S,C,L","creamy, fatty, burnt",3.0
1887,99,Pralus,France,2006,Blend,"Djakarta, Java and Ghana",75%,"4- B,S,C,L","tart, fruit, cocoa",3.5
1888,32,Pralus,France,2006,Jamaica,Jamaique,75%,"4- B,S,C,L","creamy, spicy",3.75
1889,93,Pralus,France,2006,Ecuador,Fortissima,80%,"4- B,S,C,L","vegetal, fruit, smoke",3.75
1890,162,Pralus,France,2007,Sao Tome,Claudio Corallo w/ nibs,75%,"4- B,S,C,L","large nibs, spicy, cocoa",4.0
1891,280,Pralus,France,2008,Dominican Republic,Dominican Republic-Organic,75%,"4- B,S,C,L","sandy, sour",2.0
1892,202,Pralus,France,2008,Madagascar,"Sambirano Valley, Le 100%",100%,"2- B,C","fatty, mild fruit, bitter, smoke",3.0
1893,280,Pralus,France,2008,Brazil,"Monte Alegre, Diego Badero",75%,"4- B,S,C,L","complex, herbal, sour",3.5
1894,451,Pralus,France,2009,Venezuela,Cuyagua,75%,"4- B,S,C,L","creamy, burnt,ashey, lemon",2.0
1895,486,Pralus,France,2010,Venezuela,Chuao,75%,"4- B,S,C,L","nutty, red berry, rich",3.5
1896,717,Pralus,France,2011,Venezuela,"Porcelana, S. of Lake Maracaibo",75%,"4- B,S,C,L","burnt nuts, subtle fruit",3.25
1897,1446,Pralus,France,2015,Peru,Peru,75%,"3- B,S,C","subdued, floral, nutty, fatty",3.25
1898,2406,Pralus,France,2019,Papua New Guinea,Papouasie,75%,"4- B,S,C,L","complex, smoke, intense, ham",3.0
1899,2410,Pralus,France,2019,Indonesia,Java,75%,"4- B,S,C,L","fruit, woody, ashey, fatty",3.0
1900,2410,Pralus,France,2019,Venezuela,Barlovento,75%,"4- B,S,C,L","roasty, black licorice, rubbery",3.0
1901,2414,Pralus,France,2019,Madagascar,Nosy Be Isle.,75%,"4- B,S,C,L","high acidity,roasty,sour,chalky",3.0
1902,2418,Pralus,France,2019,Colombia,Colombie,75%,"4- B,S,C,L","sandy, coffee, sweet, roasty",3.0
1903,2410,Pralus,France,2019,Trinidad,Trinidad,75%,"4- B,S,C,L","tobacco,deep cocoa, sl. burnt",3.25
1904,2414,Pralus,France,2019,Ghana,Ghana,75%,"4- B,S,C,L","rich cocoa, fatty, roasty",3.25
1905,2410,Pralus,France,2019,Sao Tome & Principe,Sao Tome & Principe,75%,"4- B,S,C,L","deep cocoa, fatty, mild ashey",3.5
1906,2414,Pralus,France,2019,Tanzania,Tanzanie,75%,"4- B,S,C,L","spicy, cocoa",3.5
1907,2418,Pralus,France,2019,Ecuador,Equateur,75%,"4- B,S,C,L","dried fruit, floral",3.5
1908,2118,Primo Botanica,U.S.A.,2018,Tanzania,"Kokoa Kamili, 2018 Harvest",75%,"2- B,S*","sour palm, rich cocoa, fruit",3.25
1909,2118,Primo Botanica,U.S.A.,2018,Peru,Choba Choba,75%,"2- B,S*","molasses, coffee, cocoa",3.25
1910,2318,Public Chocolatory,South Korea,2019,Vietnam,Vietnam,70%,"2- B,S","fruit, tart, fertilzer",2.75
1911,1223,Pump Street Bakery,U.K.,2014,Venezuela,"Patanemo, Carabobo, Tisano family, b. 3211",75%,"3- B,S,C","nutty, fuel, intense",2.75
1912,1227,Pump Street Bakery,U.K.,2014,Ecuador,Guantupi River,85%,"3- B,S,C","floral, slightly burnt, intense",2.75
1913,1223,Pump Street Bakery,U.K.,2014,Ecuador,Guantupi River,75%,"3- B,S,C","perfume, roasted caramel",3.0
1914,1223,Pump Street Bakery,U.K.,2014,Madagascar,"Akessons Estate, Sambirano, Ambanja, b. 3212",72%,"3- B,S,C","long, mellow, buttery",3.25
1915,1688,Pump Street Bakery,U.K.,2015,Honduras,Honduras,80%,"3- B,S,C","chunky, earthy, rubber",2.75
1916,1502,Pump Street Bakery,U.K.,2015,Grenada,"Crayfish Bay Estate, 2014",70%,"3- B,S,C","dark berry, mild floral",3.5
1917,1530,Pump Street Bakery,U.K.,2015,Madagascar,"Akesson's, batch 4411",74%,"3- B,S,C","dairy, butterscotch, caramel",3.5
1918,1872,Pump Street Bakery,U.K.,2016,Ecuador,"Chocoan Rainforest, Teroro Escondido, ESM",77%,"3- B,S,C","floral, grain, deep cocoa",3.5
1919,1956,Pump Street Bakery,U.K.,2017,Jamaica,"Bachelor's Hall, batch 6911",75%,"2- B,S","sticky, mild, hay, honey",3.75
1920,2166,Pump Street Bakery,U.K.,2018,Solomon Islands,"Guadalcanal, Tenaru, David Natei F.",72%,"3- B,S,C",dominant savory,3.25
1921,931,Pura Delizia,Italy,2012,Venezuela,Venezuela,73%,"4- B,S,C,L","fatty, vanilla, orange",2.75
1922,1988,Pura Delizia,Italy,2017,Ecuador,Ecuador,73%,"4- B,S,C,L","few grits, strong floral",3.25
1923,1988,Pura Delizia,Italy,2017,Papua New Guinea,Papua New Guinea,75%,"4- B,S,C,L",intense smoke,3.25
1924,1984,Pura Delizia,Italy,2017,Vietnam,Vietnam,75%,"4- B,S,C,L","intense, fig, roasty, citrus",3.5
1925,1988,Pura Delizia,Italy,2017,Philippines,Philippines,66%,"4- B,S,C,L","spice, sunflower",3.5
1926,1988,Pura Delizia,Italy,2017,Dominican Republic,Dominican,65%,"4- B,S,C,L","peanut, soy, sunflower",3.75
1927,935,Q Chocolate,Brazil,2012,Brazil,Brazil,60%,"3- B,S,C","sweet, intense banana",3.0
1928,935,Q Chocolate,Brazil,2012,Brazil,Brazil,65%,"3- B,S,C","muted, banana, hot cocoa",3.25
1929,1069,Q Chocolate,Brazil,2013,Brazil,Brazil,55%,"3- B,S,C","creamy, too sweet, sour",2.75
1930,1057,Q Chocolate,Brazil,2013,Brazil,Brazil,75%,"3- B,S,C","sticky, intense, roasty, fruit",3.25
1931,1069,Q Chocolate,Brazil,2013,Brazil,Brazil,80%,"3- B,S,C","tannic, fruity, cocoa",3.25
1932,1057,Q Chocolate,Brazil,2013,Brazil,Brazil,85%,"3- B,S,C","mild bitter, banana, citrus",3.5
1933,2238,Qantu,Canada,2018,Peru,"Bagua, Amazonas",70%,"3- B,S,C","pungent, grapes",3.0
1934,2426,Qantu,Canada,2019,Peru,"Chunchu, Ayacucho, lot 208",70%,"3- B,S,C","bold, nutty, floral, wine",3.75
1935,2470,Qantu,Canada,2020,Peru,"Morropon, Piura, AoC Golden Bean 2018",70%,"3- B,S,C","intense plum, harsh woody",3.5
1936,2506,Qantu,Canada,2020,Peru,"Piura, Gran Blanco, lot 400",70%,"3- B,S,C",grapes and honey,4.0
1937,2594,Qantu,Canada,2021,Peru,"Chaska, Junin, lot 425",70%,"3- B,S,C","bold, fig w/ floral undertone",3.75
1938,1796,Quetzalli (Wolter),Mexico,2016,Mexico,"Mexico, Lot 28022016",70%,"3- B,S,C","gritty, waxy, leather",2.75
1939,1800,Quetzalli (Wolter),Mexico,2016,Mexico,"Uranga, Lot 22032016",74%,"3- B,S,C","waxy, gritty, spicy, hammy",3.0
1940,785,Raaka,U.S.A.,2011,Dominican Republic,La Red,85%,"3- B,S,C","creamy, pasty, bitter, cocoa",3.5
1941,959,Raaka,U.S.A.,2012,Madagascar,Madagascar,75%,"3- B,S,C","gritty, sticky, candied",3.25
1942,1708,Raaka,U.S.A.,2015,Congo,Virunga,75%,"3- B,S,C","refined, honey, rubber",2.75
1943,1788,Raaka,U.S.A.,2016,Peru,"Amazon Basin Blend- SMartin,Pangoa,nacional",70%,"3- B,S,C","pungent, green, citrus",3.0
1944,2032,Raaka,U.S.A.,2017,Haiti,"Pisa, unroasted",70%,"3- B,S,C",green,3.25
1945,2032,Raaka,U.S.A.,2017,Haiti,"Pisa, roasted",70%,"3- B,S,C",basic cocoa,3.5
1946,470,Rain Republic,Guatemala,2010,Guatemala,Suchitepequez E.,70%,"5- B,S,C,V,L","Easter candy, burnt",2.75
1947,565,Rancho San Jacinto,Ecuador,2010,Ecuador,Ecuador,75%,,slightly dry and super spicey,3.0
1948,1558,Ranger,U.S.A.,2015,Peru,"San Martin, Batch 2",70%,"2- B,S","oily, intense vinegar",2.5
1949,1562,Ranger,U.S.A.,2015,Peru,"Chulucanas, Batch 1",80%,"2- B,S","fruity, melon",3.25
1950,1562,Ranger,U.S.A.,2015,Peru,"Tumbes, Batch 2",73%,"2- B,S","dried fruit, raisins, nutty",3.5
1951,2668,Ranger,U.S.A.,2021,Mexico,Soconusco,70%,"2- B,S","fruit, yogurt, astringent",3.25
1952,1872,Raoul Boulanger,France,2016,Peru,Piura,75%,"3- B,S,C","fatty, cocoa",3.25
1953,2166,Raphio,U.S.A.,2018,Ecuador,Camino Verde,72%,"3- B,S,C","floral, malt, high astringcy",3.5
1954,2158,Raphio,U.S.A.,2018,Tanzania,"Kokoa Kamili, Kilombero batch IT7507",72%,"3- B,S,C","creamy, complex, maple",3.75
1955,2158,Raphio,U.S.A.,2018,Peru,"El Gran Sapasoa, batch IP7487",72%,"3- B,S,C",dominant spice,3.75
1956,2330,Raphio,U.S.A.,2019,Dominican Republic,"Oko Caribe, San Fran. De Macoris, El Cibao",72%,"3- B,S,C","floral, roasted cacao, dirty",3.5
1957,2334,Raphio,U.S.A.,2019,Nicaragua,Matagalpa,72%,"3- B,S,C","grassy, earthy, roasty, dirty",3.5
1958,2618,Raphio,U.S.A.,2021,Ghana,"Suhum Region, ABOCFA, b. IG7720",72%,"3- B,S,C","gateway, nutty, rich cocoa",3.5
1959,867,Raw Cocoa,Poland,2012,Peru,Raw,70%,,"smooth, green, vegetal",2.5
1960,147,Republica del Cacao (aka Confecta),Ecuador,2007,Ecuador,Manabi,75%,"4- B,S,C,L","cinamon, hazelnut, roasty",3.0
1961,147,Republica del Cacao (aka Confecta),Ecuador,2007,Ecuador,El Oro,67%,"4- B,S,C,L","creamy, caramel, dairy",3.5
1962,170,Republica del Cacao (aka Confecta),Ecuador,2007,Ecuador,Los Rios,75%,"4- B,S,C,L","vanilla, dark roast, spicy",3.75
1963,439,Republica del Cacao (aka Confecta),Ecuador,2009,Ecuador,"Los Rios, Vinces",75%,"4- B,S,C,L","strong rubber, off chemical",2.5
1964,494,Republica del Cacao (aka Confecta),Ecuador,2010,Ecuador,Esmeraldas,75%,"4- B,S,C,L","strong spicey, earthy green",3.25
1965,745,Ritual,U.S.A.,2011,Costa Rica,Costa Rica,75%,"2- B,S","dark berry, woody,astringent",3.5
1966,967,Ritual,U.S.A.,2012,Ecuador,"Camino Verde P., 2012, Balao, Guayas, batch 1",75%,"2- B,S","dried fruit, nut, bitter, roasty",3.25
1967,979,Ritual,U.S.A.,2012,Trinidad,"Gran Couva, 2012 harvest, batch 001",75%,"2- B,S","orange, heavy roast",3.5
1968,891,Ritual,U.S.A.,2012,Madagascar,"Sambirano, 2011 harvest, batch 1",75%,"2- B,S","dark berry, tropical, nutty",4.0
1969,1181,Ritual,U.S.A.,2013,Peru,"Maranon, Cajamarca, batch 002",75%,"2- B,S","intense, roasty, spice",3.0
1970,1089,Ritual,U.S.A.,2013,Belize,"Toledo District, Maya, batch 001",75%,"2- B,S","thick, slow, pure",3.75
1971,1466,Ritual,U.S.A.,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, b. 001",85%,"2- B,S","mild bitter, woody, bourbon",3.5
1972,1466,Ritual,U.S.A.,2015,Blend,"Mid Mountain, 2014, batch 002",70%,"2- B,S","sticky, woody",3.5
1973,1860,Ritual,U.S.A.,2016,Ecuador,"Camino Verde P., Balao, 2015 harvest, batch8",75%,"2- B,S","floral, bourbon, balanced",3.75
1974,2008,Ritual,U.S.A.,2017,Mexico,Xoconusco,75%,"3- B,S,C","smooth, coffee, rich cocoa",3.75
1975,2282,Ritual,U.S.A.,2019,Nicaragua,"La Colonia, Enliven Cacao",70%,"2- B,S","complex, honey, fruit, nut",3.5
1976,2418,Ritual,U.S.A.,2019,Trinidad,"Jagassar Estate, Moruga Region, microlot",80%,"2- B,S","rich brownie, dried fruit",3.5
1977,2514,Ritual,U.S.A.,2020,Madagascar,"Sambirano, 2019 h., batch 7",75%,"3- B,S,C","tart fruit, roasty",3.5
1978,2080,River-Sea,U.S.A.,2018,Tanzania,"Kokoa Kamili, Morogoro",72%,"3- B,S,C","muted, heavy roast",3.0
1979,2354,River-Sea,U.S.A.,2019,Fiji,"Vanua Levu, Matasawalevu",70%,"3- B,S,C","fatty, rubbery, nutty",2.5
1980,2354,River-Sea,U.S.A.,2019,Peru,Ucayali,70%,"3- B,S,C","fatty, rubbery, off",2.5
1981,1844,Roasting Masters,South Korea,2016,Costa Rica,"La Dorado, light roast",70%,"2- B,S","dried fruit, intense",3.25
1982,1844,Roasting Masters,South Korea,2016,Costa Rica,"Tapanti, light roast",70%,"2- B,S","fatty, honey, slight sour",3.25
1983,1844,Roasting Masters,South Korea,2016,Costa Rica,Maleku,70%,"2- B,S","roasty, coffee, intense",3.25
1984,1061,Robert (aka Chocolaterie Robert),Madagascar,2013,Madagascar,Madagascar,75%,"5- B,S,C,V,L","rich cocoa, nutty",3.25
1985,1061,Robert (aka Chocolaterie Robert),Madagascar,2013,Madagascar,Madagascar w/ nibs,68%,"4- B,S,C,L","basic cocoa, large nibs",3.25
1986,923,Rococo (Grenada Chocolate Co.),U.K.,2012,Grenada,"Gru Grococo, St. Andrews",66%,,"earthy, mild nutty",3.5
1987,213,Rogue,U.S.A.,2008,Dominican Republic,"Hispaniola, 2008",70%,"2- B,S","nutty, earthy, mild off note",2.75
1988,213,Rogue,U.S.A.,2008,Jamaica,Jamaica,70%,"2- B,S","sandy, heavy roast, woody",2.75
1989,213,Rogue,U.S.A.,2008,Madagascar,"Sambirano, 2008",70%,"2- B,S","raisins, sour, roasty",3.0
1990,213,Rogue,U.S.A.,2008,Trinidad,Trinidad,70%,"2- B,S","dry, honey, roasty",3.0
1991,327,Rogue,U.S.A.,2009,Venezuela,Rio Caribe,70%,"2- B,S","mint, sweet spices",3.5
1992,565,Rogue,U.S.A.,2010,Peru,Piura,75%,"2- B,S","smooth,intense,fruit, complex",3.75
1993,793,Rogue,U.S.A.,2011,Bolivia,"Silvestre, Batch 1, 2011",75%,"2- B,S","rich brownie, roasty, sour",3.0
1994,979,Rogue,U.S.A.,2012,Ecuador,"Camino Verde P., Balao, Guayas",75%,"2- B,S","floral, bourbon, mocha",3.75
1995,1038,Rogue,U.S.A.,2013,Madagascar,"Akessons Estate, Sambirano, 2013",70%,"2- B,S","creamy, heavy roast, citrus",3.5
1996,1081,Rogue,U.S.A.,2013,Dominican Republic,"Hispaniola, 2013",70%,"2- B,S","sticky, earthy, smokey",3.5
1997,1193,Rogue,U.S.A.,2013,Jamaica,"Bachelor's Hall E., St. Thomas Parish, batch 1",75%,"2- B,S","intense, dark berry, spice",3.75
1998,1081,Rogue,U.S.A.,2013,Bolivia,"Silvestre, Batch 7, 2013",75%,"2- B,S","smooth, banana, tart, roasty",4.0
1999,1209,Rogue,U.S.A.,2014,Venezuela,Porcelana,80%,"2- B,S","red fruit, intense, earthy",3.75
2000,1566,Rogue,U.S.A.,2015,Bolivia,"Tranquilidad, Batch 1",75%,"2- B,S","roasty, dried fruit, sour",3.25
2001,1446,Rogue,U.S.A.,2015,Venezuela,"Caranero, Choc. Garage Exclusive",70%,"2- B,S","deep, rich, nutty, roasty",3.75
2002,1748,Rogue,U.S.A.,2016,Honduras,"La Masica, Batch 1, FHIA Research Center",75%,"2- B,S","robust, tart, roasty",3.75
2003,717,Rozsavolgyi,Hungary,2011,Venezuela,Porcelana,71%,"3- B,S,C","intense, burnt, chemical",2.5
2004,765,Rozsavolgyi,Hungary,2011,Principe,Principe,77%,"3- B,S,C","smokey, nutty, fat residue",2.75
2005,713,Rozsavolgyi,Hungary,2011,Venezuela,Carenero Superior,73%,"3- B,S,C","fatty, roasty, coffee",3.5
2006,717,Rozsavolgyi,Hungary,2011,Venezuela,"Aragua, Trincheras",70%,"3- B,S,C","uneven melt, cashew",3.5
2007,871,Rozsavolgyi,Hungary,2012,Venezuela,"Rio Caribe Superior, Paria Penninsula, b. R380",76%,"3- B,S,C","fatty, burnt, nut, vegetal",2.25
2008,809,Rozsavolgyi,Hungary,2012,Venezuela,Sur del Lago,84%,"3- B,S,C","fatty, chemical, roasty",2.5
2009,871,Rozsavolgyi,Hungary,2012,Madagascar,"Sambirano, Akesson Estate, batch MT3802",72%,"3- B,S,C","buttery, sour tang, off notes",2.5
2010,2004,Rozsavolgyi,Hungary,2017,Venezuela,Chuao,73%,"3- B,S,C","nuts, chocolate, mellow",3.75
2011,2672,Rozsavolgyi,Hungary,2021,Peru,"Piura, Norandino, Gran Blanco Nativo, b. PB4704",72%,"3- B,S,C","blackberry, mild floral",3.75
2012,1964,Ruket,Italy,2017,Honduras,"Red Mayan, Xoco",72%,"3- B,S*,C","off note, vegetal, nibby",2.75
2013,2036,Ruket,Italy,2018,Haiti,"Pisa, lot 03HA",75%,"3- B,S,C","cocoa base, spice",3.0
2014,2036,Ruket,Italy,2018,Nicaragua,"Nugu, lot 02N",70%,"3- B,S,C","complex, coarse, astringent",3.5
2015,2668,Ruket,Italy,2021,Indonesia,"Sumba, lot 02IN",77%,"2- B,S","mild smoke, tart, spice, harsh",2.75
2016,2660,Ruket,Italy,2021,Tanzania,Kokoa Kamili. Lot 73T,72%,"2- B,S","clean, pure cocoa, cherry, gritty",3.5
2017,615,S.A.I.D.,Italy,2010,Blend,100 percent,100%,,"sticky, intense, very bitter",1.5
2018,615,S.A.I.D.,Italy,2010,Dominican Republic,Samana,70%,,"fudgey, astringent, sour",3.0
2019,607,S.A.I.D.,Italy,2010,Madagascar,Malgascio,64%,,"sandy, subtle fruit then cocoa",3.5
2020,615,S.A.I.D.,Italy,2010,Blend,"Carribean, Arawak",72%,,"fatty, cocoa, nutty",3.5
2021,615,S.A.I.D.,Italy,2010,Blend,Latino,72%,,"sandy, sweet, spice",3.5
2022,813,Sacred,U.S.A.,2012,Blend,"Midnight, Central and S. America",83%,"4- B,S*,C,V","grassy, strong bitter",2.75
2023,813,Sacred,U.S.A.,2012,Blend,"Twilight, Central and S. America",69%,"4- B,S*,C,V","grassy, maple",3.25
2024,288,Salgado,Argentina,2008,Brazil,Bahia Superior,70%,"4- B,S,C,L","creamy, vanilla, rich",3.5
2025,288,Salgado,Argentina,2008,Ecuador,Esmeraldas,70%,"4- B,S,C,L","nutty, spicy, floral",3.5
2026,288,Salgado,Argentina,2008,Venezuela,Carenero Superior,70%,"4- B,S,C,L","nutty, basic cocoa",3.5
2027,292,Salgado,Argentina,2008,Ecuador,Rio Arriba,70%,"4- B,S,C,L","floral, spicey",3.5
2028,2004,San Jose,Ecuador,2017,Ecuador,"H. San Jose, Los Rios, L300817",70%,"4- B,S,C,L","few grits, basic, gateway",3.25
2029,32,Santander (Compania Nacional),Colombia,2006,Colombia,Colombian Semi Dark,53%,"5- B,S,C,V,L","too sweet, candy-like",2.0
2030,32,Santander (Compania Nacional),Colombia,2006,Colombia,Colombian,65%,"5- B,S,C,V,L","sweet, cherry, marshmallow",3.0
2031,32,Santander (Compania Nacional),Colombia,2006,Colombia,Colombian Dark,70%,"5- B,S,C,V,L","rustic, cherry, marshmallow",3.75
2032,404,Santander (Compania Nacional),Colombia,2009,Colombia,Colombian 2008,75%,"3- B,S,L","roasty,rich cocoa,marshmallow",2.75
2033,414,Santander (Compania Nacional),Colombia,2009,Colombia,Colombian w/ nibs,70%,"5- B,S,C,V,L","sweet, marshmallow",3.0
2034,761,Santome,France,2011,Sao Tome,Sao Tome,70%,"5- B,S,C,V,L","perfume, vanilla",2.75
2035,15,Scharffen Berger,U.S.A.,2006,Blend,Extra Dark,82%,"5- B,S,C,V,L","dry, bitter, poor aftertaste",2.0
2036,40,Scharffen Berger,U.S.A.,2006,Blend,"Kumasi Sambirano, Ghana & Madagascar",68%,"5- B,S,C,V,L","fruity, smokey, burnt",2.0
2037,56,Scharffen Berger,U.S.A.,2006,Jamaica,Jamaica a l'ancienne,70%,"5- B,S,C,V,L","fresh nibs,chocolate base off",2.0
2038,56,Scharffen Berger,U.S.A.,2006,Blend,Semisweet,62%,"5- B,S,C,V,L","tobacco, sweet, dairy",3.0
2039,15,Scharffen Berger,U.S.A.,2006,Blend,Bittersweet,70%,"5- B,S,C,V,L","cherry, mild bitter",3.5
2040,117,Scharffen Berger,U.S.A.,2007,Blend,"Las Islas, Carribean(DR/Jam/Tri)",72%,"5- B,S,C,V,L",strong smokey tobacco,3.0
2041,135,Scharffen Berger,U.S.A.,2007,Blend,Nibby,62%,"5- B,S,C,V,L","sweet, base cocoa",3.0
2042,188,Scharffen Berger,U.S.A.,2007,Blend,Antilles (Trin/Gren/DR/Ven),75%,"5- B,S,C,V,L","smooth,complex,cocoa base",3.0
2043,135,Scharffen Berger,U.S.A.,2007,Venezuela,Cuyagua,75%,"5- B,S,C,V,L","complex, strawberry, tart",3.75
2044,227,Scharffen Berger,U.S.A.,2008,Blend,"Finisterra, Ven., Trinidad, Mad.",72%,"5- B,S,C,V,L","grassy, black pepper, smoke",3.0
2045,336,Scharffen Berger,U.S.A.,2009,Brazil,Tome Acu,68%,"5- B,S,C,V,L","smooth, tart, earthy",3.75
2046,445,Scharffen Berger,U.S.A.,2009,Vietnam,Ben Tre,72%,"5- B,S,C,V,L","creamy, grassy, banana, tart",3.75
2047,336,Scharffen Berger,U.S.A.,2009,Ghana,Asante,65%,"5- B,S,C,V,L","simple, delicate cocoa, long",4.0
2048,464,Scharffen Berger,U.S.A.,2010,Grenada,Camahogne,68%,"5- B,S,C,V,L","smooth, grassy, minty",3.5
2049,464,Scharffen Berger,U.S.A.,2010,Madagascar,Amina,65%,"5- B,S,C,V,L","clingy,subtle, tangy, citrus",3.75
2050,781,Scharffen Berger,U.S.A.,2011,Papua New Guinea,Markham Valley,68%,"5- B,S,C,V,L","cherry,wine,rich,smoke",3.75
2051,959,Scharffen Berger,U.S.A.,2012,Peru,San Juan de Cheni,78%,"4- B,S,C,L","banana, pear, spice, cheese",4.0
2052,1658,Seaforth,U.K.,2015,Dominican Republic,Dominican Republic,70%,"2- B,S","rustic, vegetal, earthy",2.75
2053,1658,Seaforth,U.K.,2015,Grenada,Grenada,70%,"2- B,S","off, sweet, orange, rubber",2.75
2054,2104,Seahorse,U.S.A.,2018,Honduras,Wampusirpi,70%,"2- B,S","dry, earthy, surface mark",2.75
2055,2108,Seahorse,U.S.A.,2018,Dominican Republic,Zorzal,70%,"2- B,S","earthy, mild fruit, sticky",3.0
2056,2104,Seahorse,U.S.A.,2018,Tanzania,Kokoa Kamili,70%,"2- B,S","sticky, cherry, cocoa",3.25
2057,2446,Seahorse,U.S.A.,2019,Fiji,Matasawalevu,70%,"2- B,S","sharp, raw, metallic",2.75
2058,2446,Seahorse,U.S.A.,2019,Uganda,Semuliki Forest,70%,"2- B,S","cocoa, roasty, sticky",3.5
2059,2660,Seahorse,U.S.A.,2021,Trinidad,Gewan Gangaram,75%,"2- B,S","sl roasty, woody, melon, spicy",3.25
2060,2590,Seahorse,U.S.A.,2021,Peru,Ucayali,70%,"2- B,S","orange, fig, cocoa",3.5
2061,2594,Seahorse,U.S.A.,2021,Vietnam,Ben Tre,70%,"2- B,S",blueberry & cocoa dominate,3.5
2062,2660,Seahorse,U.S.A.,2021,India,Anamalai,70%,"2- B,S","sticky, dark berry, roasty edge",3.5
2063,2370,Shane Chocolate Works,U.S.A.,2019,Guatemala,Guatemala,70%,"3- B,S,C","spicy, rich cocoa, sweet",3.0
2064,2370,Shane Chocolate Works,U.S.A.,2019,Colombia,Colombia,70%,"3- B,S,C","black pepper, astringent",3.0
2065,2366,Shane Chocolate Works,U.S.A.,2019,Belize,Belize,70%,"3- B,S,C",full cocoa flavor,3.5
2066,1335,Shark Mountain,U.S.A.,2014,Ecuador,Ecuador,75%,"2- B,S","coffee, nutty",3.0
2067,1335,Shark Mountain,U.S.A.,2014,Belize,"Belize, 2013",72%,"2- B,S","fruity, blueberry",3.25
2068,1466,Shark Mountain,U.S.A.,2015,Venezuela,Cuyagua,77%,"2- B,S","smoked ham, tangy, berry",2.75
2069,1450,Shark Mountain,U.S.A.,2015,Jamaica,Jamaica,72%,"2- B,S","sticky, dried fruit, smoke",3.25
2070,1450,Shark Mountain,U.S.A.,2015,Papua New Guinea,Papua New Guinea,73%,"2- B,S","chewy, smoke, fruit, cocoa",3.5
2071,1466,Shark Mountain,U.S.A.,2015,Dominican Republic,ROIG,74%,"2- B,S","grapes, tangy, cocoa",3.5
2072,713,Shark's,U.S.A.,2011,U.S.A.,"Hawai'i Island, Hilo",73%,"4- B,S,C,V","sticky, earthy, medicinal",2.0
2073,721,Shark's,U.S.A.,2011,U.S.A.,"Hawai'i Island, Hilo, w/ added cocoa butter",73%,"4- B,S,C,V","perfume, floral, chemical",2.5
2074,757,Shattell,Peru,2011,Peru,Porcelana,75%,"3- B,S,C","strong spice, perfume, roasty",3.5
2075,1884,Shattell,Peru,2016,Peru,Tingo Maria,70%,"3- B,S,C","earthy, roasty, vegetal",3.25
2076,1586,Sibu,Costa Rica,2015,Costa Rica,Oro,82%,"3- B,S,C","gritty, fatty, coffee",3.25
2077,1586,Sibu,Costa Rica,2015,Costa Rica,Oscuro,70%,"3- B,S,C","gritty, bold, black pepper",3.5
2078,911,Sibu Sura,U.S.A.,2012,Peru,Peru,70%,,"sandy, sweet, vanilla",2.5
2079,717,Silvio Bessone,Italy,2011,Belize,Maya Belize,67%,"4- B,S,C,Sa","fatty, cocoa, spicy",3.0
2080,741,Silvio Bessone,Italy,2011,Colombia,"Porcelana, Colombia, Amazonas",68%,"4- B,S,C,Sa","fatty, salty, caramel",3.0
2081,725,Silvio Bessone,Italy,2011,Sao Tome,"Trintade, Sao Tome",65%,"4- B,S,C,Sa","nutty, salty",3.25
2082,729,Silvio Bessone,Italy,2011,Brazil,"Bahia, Scavina",60%,"4- B,S,C,Sa","fatty, sweet, salty",3.25
2083,1339,Sirene,Canada,2014,Madagascar,"Somia Plantation, 2012",67%,"3- B,S,C","tart, sweet edge",3.75
2084,1339,Sirene,Canada,2014,Madagascar,"Somia Plantation, 2012",73%,"3- B,S,C","intense fruity, mild sour",3.75
2085,1343,Sirene,Canada,2014,Ecuador,"Camino Verde P., Balao, Guayas",73%,"3- B,S,C","intense, rich, burnt, licorice",3.75
2086,1502,Sirene,Canada,2015,Madagascar,"Somia Plantation, 2012",100%,1- B,"creamy, tart, bitter",3.0
2087,1506,Sirene,Canada,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2012",100%,1- B,"floral, bourbon, bitter",3.0
2088,1614,Sirene,Canada,2015,Guatemala,Lachua w/ cane sugar,73%,"2- B,S","waxy, earthy, cocoa, roasty",3.0
2089,1614,Sirene,Canada,2015,Guatemala,"Lachua w/ maple sugar, batch 5",73%,"2- B,S*","waxy, maple, flat",3.25
2090,1650,Sirene,Canada,2015,Haiti,Pisa,73%,"2- B,S","oily, medium roasted cocoa",3.25
2091,1788,Sirene,Canada,2016,Bolivia,Wild Bolivia,73%,"2- B,S","sticky, raisins, fudgey",3.5
2092,1856,Sirene,Canada,2016,Tanzania,Kokoa Kamili Coop,73%,"2- B,S","basic cocoa, gateway",3.5
2093,1860,Sirene,Canada,2016,Ecuador,"Esmeraldas, Salazar Farm",73%,"2- B,S","rich cocoa, spicy",3.75
2094,1996,Sirene,Canada,2017,Peru,Tingo Maria,73%,"2- B,S","caramel, anise, dried fruit",3.75
2095,2652,Sirene,Canada,2021,Mexico,"Soconusco, Rayen Cacao Co-op",73%,"3- B,S,C","bland, sour, lacks development",3.0
